V1,V2,rural
3904,雲林縣西螺鎮,0
3905,雲林縣土庫鎮,0
3906,雲林縣北港鎮,0
3907,雲林縣古坑鄉,0
3908,雲林縣大埤鄉,0
3909,雲林縣莿桐鄉,0
3910,雲林縣林內鄉,0
3911,雲林縣二崙鄉,0
3912,雲林縣崙背鄉,0
3913,雲林縣麥寮鄉,0
3914,雲林縣東勢鄉,0
3915,雲林縣褒忠鄉,0
3916,雲林縣臺西鄉,0
3917,雲林縣元長鄉,0
3918,雲林縣四湖鄉,0
3919,雲林縣口湖鄉,0
3920,雲林縣水林鄉,0
4000,嘉義縣,0
4001,嘉義縣朴子鎮,0
4002,嘉義縣布袋鎮,0
4003,嘉義縣大林鎮,0
4004,嘉義縣民雄鄉,0
4005,嘉義縣溪口鄉,0
4006,嘉義縣新港鄉,0
4007,嘉義縣六腳鄉,0
4008,嘉義縣東石鄉,0
4009,嘉義縣義竹鄉,0
4010,嘉義縣鹿草鄉,0
4011,嘉義縣太保鄉,0
4012,嘉義縣水上鄉,0
4013,嘉義縣中埔鄉,0
4014,嘉義縣竹崎鄉,0
4015,嘉義縣梅山鄉,0
4016,嘉義縣番路鄉,1
4017,嘉義縣大埔鄉,1
4018,嘉義縣阿里山,1
4100,臺南縣,0
4101,臺南縣新營市,0
4102,臺南縣鹽水鎮,0
4103,臺南縣白河鎮,0
4104,臺南縣麻豆鎮,0
4105,臺南縣佳里鎮,0
4106,臺南縣新化鎮,0
4107,臺南縣善化鎮,0
4108,臺南縣學甲鎮,0
4109,臺南縣柳營鄉,0
4110,臺南縣後壁鄉,0
4111,臺南縣東山鄉,0
4112,臺南縣下營鄉,0
4113,臺南縣六甲鄉,0
4114,臺南縣官田鄉,0
4115,臺南縣大內鄉,0
4116,臺南縣西港鄉,0
4117,臺南縣七股鄉,0
4118,臺南縣將軍鄉,0
4119,臺南縣北門鄉,0
4120,臺南縣新市鄉,0
4121,臺南縣安定鄉,0
4122,臺南縣山上鄉,0
4123,臺南縣玉井鄉,0
4124,臺南縣楠西鄉,1
4125,臺南縣南化鄉,1
4126,臺南縣左鎮鄉,1
4127,臺南縣仁德鄉,0
4128,臺南縣歸仁鄉,0
4129,臺南縣關廟鄉,0
4130,臺南縣龍崎鄉,1
4131,臺南縣永康鄉,0
200,高雄市,0
201,高雄市鹽埕區,0
202,高雄市鼓山區,0
203,高雄市左營區,0
204,高雄市楠梓區,0
205,高雄市三民區,0
206,高雄市新興區,0
207,高雄市前金區,0
208,高雄市苓雅區,0
209,高雄市前鎮區,0
210,高雄市旗津區,0
211,高雄市小港區,0
4200,高雄縣,0
4201,高雄縣鳳山市,0
4202,高雄縣岡山鎮,0
4203,高雄縣旗山鎮,0
4204,高雄縣美濃鎮,0
4205,高雄縣林園鄉,0
4206,高雄縣大寮鄉,0
4207,高雄縣大樹鄉,0
4208,高雄縣仁武鄉,0
4209,高雄縣大社鄉,0
4210,高雄縣鳥松鄉,0
4211,高雄縣橋頭鄉,0
4212,高雄縣燕巢鄉,0
4213,高雄縣田寮鄉,1
4214,高雄縣阿蓮鄉,0
4215,高雄縣路竹鄉,0
4216,高雄縣湖內鄉,0
4217,高雄縣茄萣鄉,0
4218,高雄縣永安鄉,0
4219,高雄縣彌陀鄉,0
4220,高雄縣梓官鄉,0
4221,高雄縣六龜鄉,1
4222,高雄縣甲仙鄉,1
4223,高雄縣杉林鄉,0
4224,高雄縣內門鄉,0
4225,高雄縣茂林鄉,1
4226,高雄縣桃源鄉,1
4227,高雄縣那瑪夏鄉,1
4300,屏東縣,0
4301,屏東縣屏東市,0
4302,屏東縣潮州鎮,0
4303,屏東縣東港鎮,0
4304,屏東縣恆春鎮,0
4305,屏東縣萬丹鄉,0
4306,屏東縣長治鄉,0
4307,屏東縣麟洛鄉,0
4308,屏東縣九如鄉,0
4309,屏東縣里港鄉,0
4310,屏東縣鹽埔鄉,0
4311,屏東縣高樹鄉,0
4312,屏東縣萬巒鄉,0
4313,屏東縣內埔鄉,0
4314,屏東縣竹田鄉,0
4315,屏東縣新埤鄉,0
4316,屏東縣枋寮鄉,0
4317,屏東縣新園鄉,0
4318,屏東縣崁頂鄉,0
4319,屏東縣林邊鄉,0
4320,屏東縣南州鄉,0
4321,屏東縣佳冬鄉,0
4322,屏東縣琉球鄉,1
4323,屏東縣車城鄉,0
4324,屏東縣滿州鄉,1
4325,屏東縣枋山鄉,0
4326,屏東縣三地門鄉,1
4327,屏東縣霧臺鄉,0
4328,屏東縣瑪家鄉,1
4329,屏東縣泰武鄉,1
4330,屏東縣來義鄉,1
4331,屏東縣春日鄉,1
4332,屏東縣獅子鄉,1
4333,屏東縣牡丹鄉,1
4400,澎湖縣,0
4401,澎湖縣馬公市,1
4402,澎湖縣湖西鎮,1
4403,澎湖縣白沙鄉,1
4404,澎湖縣西嶼鄉,1
4405,澎湖縣望安鄉,1
4406,澎湖縣七美鄉,1
4500,花蓮縣,1
4501,花蓮縣花蓮市,1
4502,花蓮縣鳳林鎮,1
4503,花蓮縣玉里鎮,1
4504,花蓮縣新城鄉,1
4505,花蓮縣吉安鄉,1
4506,花蓮縣壽豐鄉,1
4507,花蓮縣光復鄉,1
4508,花蓮縣豐濱鄉,1
