"ID1_CITY","city_name","rural"
"3410","高雄市大寮區",0
"3411","高雄市仁武區",0
"3412","高雄市鳥松區",0
"3501","高雄市燕巢區",0
"3502","高雄市阿蓮區",0
"3503","高雄市湖內區",0
"3504","高雄市永安區",0
"3505","高雄市梓官區",0
"3506","高雄市甲仙區",1
"3507","高雄市內門區",0
"3508","高雄市桃源區",1
"3509","高雄市鹽埕區",0
"3510","高雄市左營區",0
"3511","高雄市三民區",0
"3512","高雄市前金區",0
"3513","高雄市前鎮區",0
"3514","高雄市小港區",0
"3515","基隆市七堵區",0
"3516","基隆市仁愛區",0
"3517","基隆市安樂區",0
"3518","新竹市東區",0
"3701","新竹市香山區",0
"3702","臺中市東勢區",0
"3703","臺中市清水區",0
"3704","臺中市梧棲區",0
"3705","臺中市神岡區",0
"3706","臺中市大雅區",0
"3707","臺中市石岡區",0
"3708","臺中市大安區",0
"3709","臺中市大肚區",0
"3710","臺中市霧峰區",0
"3711","臺中市大里區",0
"3712","臺中市中區",0
"3713","臺中市西區",0
"3714","臺中市北區",0
"3715","臺中市南屯區",0
"3716","臺南市新營區",0
"3717","臺南市白河區",0
"3718","臺南市佳里區",0
"3719","臺南市善化區",0
"3720","臺南市柳營區",0
"3721","臺南市東山區",0
"3722","臺南市六甲區",0
"3723","臺南市大內區",0
"3724","臺南市七股區",0
"3725","臺南市北門區",0
"3726","臺南市安定區",0
"3801","臺南市玉井區",0
"3802","臺南市南化區",1
"3803","臺南市仁德區",0
"3804","臺南市關廟區",0
"3805","臺南市永康區",0
"3806","臺南市南區",0
"3807","臺南市北區",0
"3808","臺南市安南區",0
"3809","嘉義市東區",0
"3810","新北市板橋區",0
"3811","新北市永和區",0
"3812","新北市新店區",0
"3813","新北市樹林區",0
"3901","新北市三峽區",0
"3902","新北市汐止區",0
"3903","新北市土城區",0
"3904","新北市五股區",0
"3905","新北市林口區",0
"3906","新北市石碇區",1
"3907","新北市三芝區",0
"3908","新北市八里區",0
"3909","新北市雙溪區",1
"3910","新北市金山區",0
"3911","新北市烏來區",1
"3912","桃園縣中壢市",0
"3913","桃園縣楊梅鎮",0
"3914","桃園縣大園鄉",0
"3915","桃園縣八德市",0
"3916","桃園縣平鎮市",0
"3917","桃園縣觀音鄉",0
"3918","新竹縣關西鎮",1
"3919","新竹縣竹東鎮",0
"3920","新竹縣湖口鄉",0
"4001","新竹縣新豐鄉",0
"4002","新竹縣寶山鄉",0
"4003","新竹縣峨眉鄉",0
"4004","新竹縣五峰鄉",1
"4005","宜蘭縣羅東鎮",0
"4006","宜蘭縣頭城鎮",0
"4007","宜蘭縣壯圍鄉",0
"4008","宜蘭縣冬山鄉",0
"4009","宜蘭縣三星鄉",0
"4010","宜蘭縣南澳鄉",1
"4011","苗栗縣苑裡鎮",0
"4012","苗栗縣竹南鎮",0
"4013","苗栗縣後龍鎮",0
"4014","苗栗縣大湖鄉",0
"4015","苗栗縣銅鑼鄉",0
"4016","苗栗縣頭屋鄉",0
"4017","苗栗縣西湖鄉",0
"4018","苗栗縣三灣鄉",0
"4301","苗栗縣泰安鄉",1
"4302","彰化縣鹿港鎮",0
"4303","彰化縣北斗鎮",0
"4304","彰化縣溪湖鎮",0
"4305","彰化縣二林鎮",0
"4306","彰化縣伸港鄉",0
"4307","彰化縣秀水鄉",0
"4308","彰化縣芬園鄉",0
"4309","彰化縣埔鹽鄉",0
"4310","彰化縣永靖鄉",0
"4311","彰化縣二水鄉",0
"4312","彰化縣埤頭鄉",0
"4313","彰化縣大城鄉",0
"4314","彰化縣溪州鄉",0
"4315","南投縣埔里鎮",0
"4316","南投縣竹山鎮",0
"4317","南投縣名間鄉",0
"4318","南投縣中寮鄉",1
"4319","南投縣國姓鄉",1
"4320","南投縣信義鄉",1
"4321","雲林縣斗六市",0
"4322","雲林縣虎尾鎮",0
"4323","雲林縣土庫鎮",0
"4324","雲林縣古坑鄉",0
"4325","雲林縣荊桐鄉",0
"4326","雲林縣二崙鄉",0
"4327","雲林縣麥寮鄉",0
"4328","雲林縣褒忠鄉",0
"4329","雲林縣元長鄉",0
"4330","雲林縣口湖鄉",0
"4331","嘉義縣朴子市",0
"4332","嘉義縣大林鎮",0
"4333","嘉義縣溪口鄉",0
"4401","嘉義縣六腳鄉",0
"4402","嘉義縣義竹鄉",0
"4403","嘉義縣太保市",0
"4404","嘉義縣中埔鄉",0
"4405","嘉義縣梅山鄉",0
"4406","嘉義縣大埔鄉",1
"4501","屏東縣屏東市",0
"4502","屏東縣東港鎮",0
"4503","屏東縣萬丹鄉",0
"4504","屏東縣麟洛鄉",0
"4505","屏東縣里港鄉",0
"4506","屏東縣高樹鄉",0
"4507","屏東縣內埔鄉",0
"4508","屏東縣新埤鄉",0
"4509","屏東縣新園鄉",0
"4510","屏東縣林邊鄉",0
"4511","屏東縣佳冬鄉",0
"4512","屏東縣車城鄉",0
"4513","屏東縣枋山鄉",0
"4601","屏東縣霧臺鄉",0
"4602","屏東縣泰武鄉",1
"4603","屏東縣春日鄉",1
"4604","屏東縣牡丹鄉",1
"4605","澎湖縣湖西鎮",1
"4606","澎湖縣西嶼鄉",1
"4607","澎湖縣七美鄉",1
"4608","花蓮縣鳳林鎮",1
"4609","花蓮縣新城鄉",1
"4610","花蓮縣壽豐鄉",1
"4611","花蓮縣豐濱鄉",1
"4612","花蓮縣富里鄉",1
"4613","花蓮縣萬榮鄉",1
"4614","台東縣台東市",0
"4615","台東縣關山鎮",1
"4616","台東縣大武鄉",1
"9001","台東縣東河鄉",1
"9002","台東縣鹿野鄉",1
"9003","台東縣綠島鄉",1
"9004","台東縣海端鄉",1
"9005","台東縣金峰鄉",1
"9006","金門縣金城鎮",1
"9101","金門縣金湖鎮",1
"9102","金門縣烈嶼鄉",1
"9103","連江縣南竿鄉",1
"9104","連江縣莒光鄉",1
